State Name,District Name,Market Name,Variety,Group
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Other,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahata,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri,Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Rahuri(Vambori),Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Other,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Sangamner,Red,Vegetables
Maharashtra,Ahmednagar,Shevgaon,1st Sort,Vegetables
Maharashtra,Ahmednagar,Shevgaon,2nd Sort,Vegetables
Maharashtra,Ahmednagar,Shevgaon,Other,Vegetables
Maharashtra,Ahmednagar,Shrigonda,Other,Vegetables
Maharashtra,Ahmednagar,Shrigonda,Other,Vegetables
Maharashtra,Ahmednagar,Shrigonda,Other,Vegetables
Maharashtra,Ahmednagar,Shrigonda,Other,Vegetables
Maharashtra,Ahmednagar,Shrigonda,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Ahmednagar,Shrirampur,Other,Vegetables
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Local,Vegetables
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Local,Vegetables
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Local,Vegetables
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Local,Vegetables
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Local,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Amarawati,Morshi,Other,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Malkapur,Local,Vegetables
Maharashtra,Buldhana,Nandura,Other,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chandrapur,Chandrapur(Ganjwad),White,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Other,Vegetables
